FinDesk финальный отчет группы	QA production hotfix participant 20260527211338
Сформировано	2026-05-27 17:13:44

Итог
Приход	Расход	Наличные расходы	Карта / безнал	У администратора	У сотрудников net	Остатки сотрудников	К возмещению сотрудникам	Физическая касса	Учетный баланс
1000.00	284.00	284.00	0.00	568.00	148.00	184.00	36.00	716.00	716.00

Остатки на руках
Хранитель	Тип	Отчетов	Остаток / net	К возмещению
vetus.nauta+qa-hotfix-admin-20260527211338	Администратор		568.00	0.00
vetus.nauta+qa-hotfix-emp1-20260527211338	Сотрудник	1	67.00	0.00
vetus.nauta+qa-hotfix-emp2-20260527211338	Сотрудник	0	-36.00	36.00
vetus.nauta+qa-hotfix-emp3-20260527211338	Сотрудник	1	117.00	0.00

Статьи
Статья	Строк	Приход	Расход	Итог
Без раздела	1	1000.00	0.00	1000.00
Подотчеты	8	0.00	198.00	-198.00
Живой отчет	4	0.00	86.00	-86.00

Участники
Участник	Строк	Внес	Расход	Итог
vetus.nauta+qa-hotfix-admin-20260527211338	5	1000.00	86.00	914.00
vetus.nauta+qa-hotfix-emp1-20260527211338	4	0.00	68.00	-68.00
vetus.nauta+qa-hotfix-emp2-20260527211338	4	0.00	130.00	-130.00

Движение денег
Дата	Кто	Источник	Статья	Тип	Деньги	Назначение	Сумма	Касса была	Движение	Касса стала	Баланс стал
2026-05-27 17:13:43	vetus.nauta+qa-hotfix-admin-20260527211338	Журнал учета	Без раздела	Приход	Наличные	QA admin received EUR 1000 20260527211338	1000.00	0.00	1000.00	1000.00	1000.00
2026-05-27 17:13:43	vetus.nauta+qa-hotfix-emp1-20260527211338	Подотчет	Подотчеты	Расход	Наличные	QA emp1 expense 1 20260527211338	6.00	1000.00	-6.00	994.00	994.00
2026-05-27 17:13:43	vetus.nauta+qa-hotfix-emp1-20260527211338	Подотчет	Подотчеты	Расход	Наличные	QA emp1 expense 2 20260527211338	9.00	994.00	-9.00	985.00	985.00
2026-05-27 17:13:43	vetus.nauta+qa-hotfix-emp1-20260527211338	Подотчет	Подотчеты	Расход	Наличные	QA emp1 expense 3 20260527211338	43.00	985.00	-43.00	942.00	942.00
2026-05-27 17:13:43	vetus.nauta+qa-hotfix-emp1-20260527211338	Подотчет	Подотчеты	Расход	Наличные	QA emp1 expense 4 20260527211338	10.00	942.00	-10.00	932.00	932.00
2026-05-27 17:13:43	vetus.nauta+qa-hotfix-emp2-20260527211338	Подотчет	Подотчеты	Расход	Наличные	QA emp2 expense 1 20260527211338	12.00	932.00	-12.00	920.00	920.00
2026-05-27 17:13:43	vetus.nauta+qa-hotfix-emp2-20260527211338	Подотчет	Подотчеты	Расход	Наличные	QA emp2 expense 2 20260527211338	23.00	920.00	-23.00	897.00	897.00
2026-05-27 17:13:43	vetus.nauta+qa-hotfix-emp2-20260527211338	Подотчет	Подотчеты	Расход	Наличные	QA emp2 expense 3 20260527211338	41.00	897.00	-41.00	856.00	856.00
2026-05-27 17:13:43	vetus.nauta+qa-hotfix-emp2-20260527211338	Подотчет	Подотчеты	Расход	Наличные	QA emp2 expense 4 20260527211338	54.00	856.00	-54.00	802.00	802.00
2026-05-27 17:13:43	vetus.nauta+qa-hotfix-admin-20260527211338	Живой отчет	Живой отчет	Расход	Наличные	QA admin expense 1 20260527211338	20.00	802.00	-20.00	782.00	782.00
2026-05-27 17:13:43	vetus.nauta+qa-hotfix-admin-20260527211338	Живой отчет	Живой отчет	Расход	Наличные	QA admin expense 2 20260527211338	45.00	782.00	-45.00	737.00	737.00
2026-05-27 17:13:43	vetus.nauta+qa-hotfix-admin-20260527211338	Живой отчет	Живой отчет	Расход	Наличные	QA admin expense 3 20260527211338	17.00	737.00	-17.00	720.00	720.00
2026-05-27 17:13:43	vetus.nauta+qa-hotfix-admin-20260527211338	Живой отчет	Живой отчет	Расход	Наличные	QA admin expense 4 20260527211338	4.00	720.00	-4.00	716.00	716.00
