FinDesk финальный отчет группы	QA production multi employee 20260527201737
Сформировано	2026-05-27 16:17:51

Итог
Приход	Расход	Наличные расходы	Карта / безнал	У администратора	У сотрудников	Физическая касса	Учетный баланс
1000.00	284.00	284.00	0.00	532.00	184.00	716.00	716.00

Остатки на руках
Хранитель	Тип	Отчетов	Остаток
vetus.nauta+findesk-qa-admin-20260527201737	Администратор		532.00
vetus.nauta+findesk-qa-emp1-20260527201737	Сотрудник	1	67.00
vetus.nauta+findesk-qa-emp3-20260527201737	Сотрудник	1	117.00

Статьи
Статья	Строк	Приход	Расход	Итог
Без раздела	1	1000.00	0.00	1000.00
Живой отчет	4	0.00	86.00	-86.00
Подотчеты	8	0.00	198.00	-198.00

Участники
Участник	Строк	Внес	Расход	Итог
vetus.nauta+findesk-qa-admin-20260527201737	5	1000.00	86.00	914.00
vetus.nauta+findesk-qa-emp1-20260527201737	4	0.00	68.00	-68.00
vetus.nauta+findesk-qa-emp2-20260527201737	4	0.00	130.00	-130.00

Движение денег
Дата	Кто	Источник	Статья	Тип	Деньги	Назначение	Сумма	Касса была	Движение	Касса стала	Баланс стал
2026-05-27 16:17:50	vetus.nauta+findesk-qa-admin-20260527201737	Журнал учета	Без раздела	Приход	Наличные	QA admin received EUR 1000 20260527201737	1000.00	0.00	1000.00	1000.00	1000.00
2026-05-27 16:17:50	vetus.nauta+findesk-qa-admin-20260527201737	Живой отчет	Живой отчет	Расход	Наличные	QA admin expense 1 20260527201737	20.00	1000.00	-20.00	980.00	980.00
2026-05-27 16:17:50	vetus.nauta+findesk-qa-admin-20260527201737	Живой отчет	Живой отчет	Расход	Наличные	QA admin expense 2 20260527201737	45.00	980.00	-45.00	935.00	935.00
2026-05-27 16:17:50	vetus.nauta+findesk-qa-admin-20260527201737	Живой отчет	Живой отчет	Расход	Наличные	QA admin expense 3 20260527201737	17.00	935.00	-17.00	918.00	918.00
2026-05-27 16:17:50	vetus.nauta+findesk-qa-admin-20260527201737	Живой отчет	Живой отчет	Расход	Наличные	QA admin expense 4 20260527201737	4.00	918.00	-4.00	914.00	914.00
2026-05-27 16:17:51	vetus.nauta+findesk-qa-emp1-20260527201737	Подотчет	Подотчеты	Расход	Наличные	QA emp1 expense 1 20260527201737	6.00	914.00	-6.00	908.00	908.00
2026-05-27 16:17:51	vetus.nauta+findesk-qa-emp1-20260527201737	Подотчет	Подотчеты	Расход	Наличные	QA emp1 expense 2 20260527201737	9.00	908.00	-9.00	899.00	899.00
2026-05-27 16:17:51	vetus.nauta+findesk-qa-emp1-20260527201737	Подотчет	Подотчеты	Расход	Наличные	QA emp1 expense 3 20260527201737	43.00	899.00	-43.00	856.00	856.00
2026-05-27 16:17:51	vetus.nauta+findesk-qa-emp1-20260527201737	Подотчет	Подотчеты	Расход	Наличные	QA emp1 expense 4 20260527201737	10.00	856.00	-10.00	846.00	846.00
2026-05-27 16:17:51	vetus.nauta+findesk-qa-emp2-20260527201737	Подотчет	Подотчеты	Расход	Наличные	QA emp2 expense 1 20260527201737	12.00	846.00	-12.00	834.00	834.00
2026-05-27 16:17:51	vetus.nauta+findesk-qa-emp2-20260527201737	Подотчет	Подотчеты	Расход	Наличные	QA emp2 expense 2 20260527201737	23.00	834.00	-23.00	811.00	811.00
2026-05-27 16:17:51	vetus.nauta+findesk-qa-emp2-20260527201737	Подотчет	Подотчеты	Расход	Наличные	QA emp2 expense 3 20260527201737	41.00	811.00	-41.00	770.00	770.00
2026-05-27 16:17:51	vetus.nauta+findesk-qa-emp2-20260527201737	Подотчет	Подотчеты	Расход	Наличные	QA emp2 expense 4 20260527201737	54.00	770.00	-54.00	716.00	716.00
